"loopIteration","time","axisP[0]","axisP[1]","axisP[2]","axisI[0]","axisI[1]","axisI[2]","axisD[0]","axisD[1]","axisD[2]","rcCommand[0]","rcCommand[1]","rcCommand[2]","rcCommand[3]","vbatLatest","amperageLatest","BaroAlt","gyroADC[0]","gyroADC[1]","gyroADC[2]","accSmooth[0]","accSmooth[1]","accSmooth[2]","motor[0]","motor[1]","motor[2]","motor[3]","flightModeFlags","stateFlags","failsafePhase","rxSignalReceived","rxFlightChannelsValid","heading[0]","heading[1]","heading[2]","axisSum[0]","axisSum[1]","axisSum[2]","rcCommands[0]","rcCommands[1]","rcCommands[2]","rcCommands[3]","axisError[0]","axisError[1]","axisError[2]"
26,177390397,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,22,7,1,-1,65,205,2075,130,83,313,273,1,8,0,1,1,0.10878002302773493,-0.02697572336362921,4.396164526610753,0,0,0,3,-1,0,0,4,2,-1,"",""
27,177391735,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,7,1,-1,67,204,2075,144,83,321,321,1,8,0,1,1,0.10854551546634073,-0.027138413560337835,4.396185223513229,0,0,0,3,-1,0,0,4,2,-1,"",""
28,177393076,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,7,1,-1,67,204,2075,154,83,344,264,1,8,0,1,1,0.10833299971348796,-0.02728899687720014,4.3962059820213515,0,0,0,3,-1,0,0,4,2,-1,"",""
29,177394416,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,6,1,-1,66,203,2073,157,83,346,313,1,8,0,1,1,0.10810452762808061,-0.02741337301238607,4.396226740583783,0,0,0,3,-1,0,0,3,2,-1,"",""
30,177395771,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,7,0,0,65,201,2072,139,83,320,181,1,8,0,1,1,0.10788925014662289,-0.027538596314089617,4.396226774689958,0,0,0,3,-1,0,0,4,1,0,"",""
31,177397138,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,7,0,0,64,198,2072,132,83,320,135,1,8,0,1,1,0.10764806019887509,-0.02764083165254928,4.396226811514101,0,0,0,3,-1,0,0,4,1,0,"",""
32,177398471,0,0,0,0,0,0,0,0,0,9,-2,0,1000,150,0,23,8,0,1,62,195,2072,128,86,329,207,1,8,0,1,1,0.1073998250532382,-0.027709698280464497,4.396203710916686,0,0,0,3,-1,0,0,5,1,1,"",""
33,177399806,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,8,0,2,61,193,2072,122,86,306,149,1,8,0,1,1,0.10714229799998498,-0.02776265606880021,4.396157399331042,0,0,0,3,-1,0,0,5,1,2,"",""
34,177401144,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,9,0,2,60,191,2073,126,86,328,167,1,8,0,1,1,0.10689814646746679,-0.027798377029646482,4.396110981151479,0,0,0,3,-1,0,0,6,1,2,"",""
35,177402475,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,9,0,1,60,190,2074,119,86,284,207,1,8,0,1,1,0.10665761849693575,-0.027829465062374294,4.396087909522262,0,0,0,3,-1,0,0,6,1,1,"",""
36,177403817,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,9,0,1,60,191,2075,129,86,318,175,1,8,0,1,1,0.10644901158594235,-0.027858545927566748,4.396064643005103,0,0,0,3,-1,0,0,6,1,1,"",""
37,177405169,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,8,0,0,60,192,2077,152,86,319,274,1,8,0,1,1,0.1062460666188352,-0.027882971914009725,4.396064672262044,0,0,0,3,-1,0,0,5,1,0,"",""
38,177406528,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,8,0,-1,60,195,2079,163,86,339,303,1,8,0,1,1,0.10609489266454644,-0.027902876892652095,4.396088292657447,0,0,0,3,-1,0,0,5,1,-1,"",""
39,177407864,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,0,-1,60,197,2081,403,86,361,272,1,8,0,1,1,0.10595199385844917,-0.02792101088270901,4.396111512308473,0,0,0,3,-1,0,0,4,1,-1,"",""
40,177409197,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,0,-1,60,199,2082,171,86,354,339,1,8,0,1,1,0.10584230745890173,-0.027937802330177786,4.396134678258881,0,0,0,3,-1,0,0,4,1,-1,"",""
41,177410527,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,-1,-1,61,200,2083,153,86,354,231,1,8,0,1,1,0.10575180624221941,-0.02798767483976788,4.396160242538965,0,0,0,3,-1,0,0,4,0,-1,"",""
42,177411856,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,-1,0,61,201,2084,150,86,361,257,1,8,0,1,1,0.10567868852443789,-0.028037711199959185,4.3961627047476,0,0,0,3,-1,0,0,4,0,0,"",""
43,177413211,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,0,1,61,200,2084,128,86,306,268,1,8,0,1,1,0.10560365321944316,-0.028065925464431835,4.396139187334981,0,0,0,3,-1,0,0,4,1,1,"",""
44,177414570,0,0,0,0,0,0,0,0,0,9,-2,0,1000,151,0,23,7,-1,2,62,198,2084,129,86,322,147,1,8,0,1,1,0.10551345849933681,-0.028129515588559882,4.396094502688963,0,0,0,3,-1,0,0,4,0,2,"",""
